FAULT DOMINANCE
GOLDEN VALUES
N1  N2  N3  N6  N7  N22  N23
0   0   0   0   0   0    0
1   0   0   0   0   0    0
0   1   0   0   0   1    1
1   1   0   0   0   1    1
0   0   1   0   0   0    0
1   0   1   0   0   1    0
0   1   1   0   0   1    1
1   1   1   0   0   1    1
0   0   0   1   0   0    0
1   0   0   1   0   0    0
0   1   0   1   0   1    1
1   1   0   1   0   1    1
0   0   1   1   0   0    0
1   0   1   1   0   1    0
0   1   1   1   0   0    0
1   1   1   1   0   1    0
0   0   0   0   1   0    1
1   0   0   0   1   0    1
0   1   0   0   1   1    1
1   1   0   0   1   1    1
0   0   1   0   1   0    1
1   0   1   0   1   1    1
0   1   1   0   1   1    1
1   1   1   0   1   1    1
0   0   0   1   1   0    1
1   0   0   1   1   0    1
0   1   0   1   1   1    1
1   1   0   1   1   1    1
0   0   1   1   1   0    0
1   0   1   1   1   1    0
0   1   1   1   1   0    0
1   1   1   1   1   1    0
opcode: 000011
N1  N2  N3  N6  N7  N22  N23
0   0   0   0   0   1    0
0   1   0   0   0   0    0
0   0   1   0   0   1    1
0   1   1   0   0   1    0
0   0   0   1   0   1    1
0   1   0   1   0   0    0
0   0   1   1   0   1    1
0   1   1   1   0   1    0
0   0   0   0   1   1    0
0   1   0   0   1   0    1
0   0   1   0   1   1    1
0   0   0   1   1   1    1
0   1   0   1   1   0    1
0   0   1   1   1   1    1
0   1   1   1   1   1    0
opcode: 000010
N1  N2  N3  N6  N7  N22  N23
0   0   0   0   0   1    0
0   1   0   0   0   0    0
0   0   1   0   0   1    1
1   0   1   0   0   0    0
0   1   1   0   0   0    0
0   0   0   1   0   1    1
0   1   0   1   0   0    0
0   0   1   1   0   1    1
1   0   1   1   0   0    0
1   1   1   1   0   0    0
0   0   0   0   1   0    0
0   1   0   0   1   0    1
0   0   1   0   1   1    1
1   0   1   0   1   0    1
0   1   1   0   1   0    1
0   0   0   1   1   1    1
0   1   0   1   1   0    1
0   0   1   1   1   1    1
1   0   1   1   1   0    0
1   1   1   1   1   0    0
opcode: 000111
N1  N2  N3  N6  N7  N22  N23
0   1   0   0   0   0    0
0   0   1   0   0   1    1
1   0   1   0   0   0    0
0   1   1   0   0   1    0
0   0   0   1   0   1    1
0   1   0   1   0   0    0
0   0   1   1   0   1    1
1   0   1   1   0   0    0
0   1   1   1   0   1    0
1   1   1   1   0   0    0
0   0   0   0   1   1    0
0   1   0   0   1   0    1
0   0   1   0   1   1    1
1   0   1   0   1   0    1
0   0   0   1   1   1    1
0   1   0   1   1   0    1
0   0   1   1   1   1    1
1   0   1   1   1   0    0
0   1   1   1   1   1    0
1   1   1   1   1   0    0
opcode: 000110
N1  N2  N3  N6  N7  N22  N23
0   0   0   0   0   1    0
0   1   0   0   0   0    0
0   0   1   0   0   1    1
1   0   1   0   0   0    0
0   1   1   0   0   1    0
0   0   0   1   0   1    1
0   1   0   1   0   0    0
0   0   1   1   0   1    1
1   0   1   1   0   0    0
0   1   1   1   0   1    0
1   1   1   1   0   0    0
0   0   0   0   1   1    0
0   1   0   0   1   0    1
0   0   1   0   1   1    1
1   0   1   0   1   0    1
0   0   0   1   1   1    1
0   1   0   1   1   0    1
0   0   1   1   1   1    1
1   0   1   1   1   0    0
0   1   1   1   1   1    0
1   1   1   1   1   0    0
opcode: 001101
N1  N2  N3  N6  N7  N22  N23
0   0   0   0   0   1    0
0   1   0   0   0   0    0
0   0   1   0   0   1    1
1   0   1   0   0   0    0
0   1   1   0   0   1    0
1   1   1   0   0   0    0
0   0   0   1   0   1    0
0   1   0   1   0   0    0
0   0   1   1   0   1    1
1   0   1   1   0   0    0
0   1   1   1   0   1    0
1   1   1   1   0   0    0
0   0   0   0   1   1    0
0   1   0   0   1   0    1
0   0   1   0   1   1    1
1   0   1   0   1   0    0
0   1   1   0   1   1    0
1   1   1   0   1   0    0
0   0   0   1   1   1    0
0   1   0   1   1   0    1
0   0   1   1   1   1    1
1   0   1   1   1   0    0
0   1   1   1   1   1    0
1   1   1   1   1   0    0
opcode: 001100
N1  N2  N3  N6  N7  N22  N23
0   0   0   0   0   1    0
0   1   0   0   0   0    0
0   0   1   0   0   1    1
1   0   1   0   0   0    0
0   1   1   0   0   1    0
0   0   0   1   0   1    1
0   1   0   1   0   0    0
0   0   1   1   0   1    1
1   0   1   1   0   0    0
0   1   1   1   0   1    0
1   1   1   1   0   1    1
0   0   0   0   1   1    1
0   1   0   0   1   0    1
0   0   1   0   1   1    1
1   0   1   0   1   0    1
0   0   0   1   1   1    1
0   1   0   1   1   0    1
0   0   1   1   1   1    1
1   0   1   1   1   0    1
0   1   1   1   1   1    1
1   1   1   1   1   1    1
opcode: 000101
N1  N2  N3  N6  N7  N22  N23
0   0   0   0   0   1    1
1   0   0   0   0   1    1
0   0   1   0   0   1    1
1   0   1   0   0   1    1
0   0   0   1   0   1    1
1   0   0   1   0   1    1
0   0   1   1   0   1    1
1   0   1   1   0   0    0
0   1   1   1   0   1    0
1   1   1   1   0   0    0
0   0   0   0   1   1    0
1   0   0   0   1   1    1
0   0   1   0   1   1    1
0   0   0   1   1   1    1
1   0   0   1   1   1    1
0   0   1   1   1   1    1
1   0   1   1   1   0    0
0   1   1   1   1   1    0
1   1   1   1   1   0    0
opcode: 000100
N1  N2  N3  N6  N7  N22  N23
0   0   0   0   0   1    0
0   1   0   0   0   0    0
1   1   0   0   0   0    0
1   0   1   0   0   0    0
0   1   1   0   0   1    0
1   1   1   0   0   0    0
0   0   0   1   0   1    0
0   1   0   1   0   0    0
1   1   0   1   0   0    0
1   0   1   1   0   0    0
0   1   1   1   0   1    0
1   1   1   1   0   0    0
0   0   0   0   1   1    0
0   1   0   0   1   0    1
1   1   0   0   1   0    1
1   0   1   0   1   0    1
1   1   1   0   1   0    1
